,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVERAGE NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,0,0,0.0,0.0,18,1.3239130434782609,7.729565217391304,18,609,460,3,4,2.4717391304347824
1,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,0,0,0.0,0.0,14,1.5686274509803921,13.427450980392159,14,640,408,3,3,2.534313725490196
2,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,0,0,0.0,0.0,14,1.7588339222614842,19.103533568904595,14,1991,1132,3,4,2.636042402826855
3,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,0,0,0.0,0.0,17,1.7545787545787546,25.901831501831506,17,479,273,3,2,2.673992673992674
4,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,0,0,0.0,0.0,12,1.6586345381526104,30.663453815261047,12,1239,747,2,3,2.5863453815261046
5,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,0,0,0.0,0.0,14,1.978082191780822,36.39123287671233,14,1444,730,2,3,2.682191780821918
6,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,2,2,0.99999950000025,0.0002622606870886099,15,1.7294484911550467,42.29177939646202,15,1662,961,3,3,2.5837669094693028
7,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,0,0,0.0,0.0,15,1.810580204778157,48.32423208191126,15,2122,1172,3,4,2.592150170648464
8,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,0,0,0.0,0.0,14,1.682341650671785,53.87293666026872,14,1753,1042,4,3,2.5623800383877158
9,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,0,0,0.0,0.0,10,1.703804347826087,57.88152173913044,10,627,368,2,3,2.532608695652174
10,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,0,0,0.0,0.0,12,1.6917647058823528,62.67670588235294,12,719,425,0,3,2.6470588235294117
11,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,0,0,0.0,0.0,10,1.5519323671497585,66.6207729468599,10,1285,828,2,5,2.4722222222222223
12,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,0,0,0.0,0.0,13,1.36,71.74400000000001,13,1020,750,2,3,2.3493333333333335
13,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,0,0,0.0,0.0,12,1.9684813753581663,76.78739255014328,12,687,349,3,4,2.687679083094556
14,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,0,0,0.0,0.0,8,1.463990554899646,79.78559622195986,8,1240,847,3,4,2.447461629279811
15,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,1,1,0.9999990000010001,0.00023786869642296175,15,1.394642857142857,85.75785714285715,15,781,560,3,4,2.4232142857142858
16,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,0,0.0,0.0,15,1.955685618729097,91.98227424749165,15,2339,1196,4,4,2.7165551839464883
17,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0,0,0.0,0.0,10,1.4719904648390942,95.78879618593565,10,1235,839,3,4,2.3897497020262217
18,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0,0,0.0,0.0,12,1.9011194029850746,100.76044776119403,12,2038,1072,2,4,2.724813432835821
